Credit Starting Balance,Credit Max,Credit Account Number,Savings Starting Balance,Savings Account Number,Checking Starting Balance,Checking Account Number,Phone Number,Address,Date of Birth,Last Name,First Name,Identification Number
-14.76,9149,3029,1412.45,2029,1280.77,1029,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",20-Mar-08,Disney,Pinocchio,30
-1454.15,5023,3031,2302.79,2031,483.57,1031,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",17-Sep-71,Disney,Quasimodo,32
-1855.19,5094,3032,1388.27,2032,1270.03,1032,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",30-Jun-66,Disney,Hercules,33
-397.68,7881,3033,1216.15,2033,1774.26,1033,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",14-Oct-79,Disney,Mulan,34
-1715.37,7722,3034,1942.89,2034,1763.47,1034,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",19-Jul-44,Disney,Lilo,35
-16.87,8172,3035,4919.61,2035,387.32,1035,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",3-Feb-28,Disney,Stitch,36
-1513.57,8147,3001,3582.37,2001,1928.58,1001,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",7-Apr-94,Duck,Donald,2
-269.32,7011,3082,3689.98,2082,190.25,1082,(915) 747-5046,"500 W. University Ave, El Paso, TX 79968",17-Jun-72,E,Daniel,83
-1413.12,7019,3030,4505.0,2030,1250.24,1030,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",10-Feb-05,Eric,Prince,31
-329.08,5198,3071,2907.59,2071,1223.55,1071,(915) 747-5035,"500 W. University Ave, El Paso, TX 79968",8-Aug-55,Evans,Robert,72
-814.22,7196,3083,1020.81,2083,214.25,1083,(915) 747-5047,"500 W. University Ave, El Paso, TX 79968",24-Mar-86,F,Daniel,84
-1101.55,8439,3084,3788.92,2084,1930.6,1084,(915) 747-5048,"500 W. University Ave, El Paso, TX 79968",18-Nov-77,G,Daniel,85
-862.06,6262,3049,1243.48,2049,1243.42,1049,(915) 747-5013,"500 W. University Ave, El Paso, TX 79968",2-Jun-92,Garcia,Eduardo,50
-990.67,8216,3056,3011.8,2056,135.23,1056,(915) 747-5020,"500 W. University Ave, El Paso, TX 79968",30-Mar-42,Garcia,Hernan,57
-444.56,5693,3062,3508.77,2062,1740.54,1062,(915) 747-5026,"500 W. University Ave, El Paso, TX 79968",7-Mar-97,Garcia,Judith,63
-1581.21,9566,3060,3227.73,2060,526.23,1060,(915) 747-5024,"500 W. University Ave, El Paso, TX 79968",9-Jan-89,Gutierrez,Juan,61
-1977.56,9853,3085,3465.11,2085,1326.34,1085,(915) 747-5049,"500 W. University Ave, El Paso, TX 79968",2-May-37,H,Daniel,86
-1721.04,9291,3073,740.81,2073,1515.79,1073,(915) 747-5037,"500 W. University Ave, El Paso, TX 79968",20-Apr-52,Hernandez,Sofia,74
-1813.88,9203,3026,3295.28,2026,369.27,1026,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",12-May-01,Hook,Captaiin,27
-1927.99,7232,3086,2348.02,2086,1927.47,1086,(915) 747-5050,"500 W. University Ave, El Paso, TX 79968",23-Dec-35,I,Daniel,87
-986.39,8702,3087,2813.64,2087,1924.71,1087,(915) 747-5051,"500 W. University Ave, El Paso, TX 79968",20-Oct-43,J,Daniel,88
-530.31,3753,3041,547.41,2041,661.74,1041,(915) 747-5005,"500 W. University Ave, El Paso, TX 79968",8-Dec-44,Jasso,Anthony,42
-88.26,6307,3088,3471.09,2088,1082.73,1088,(915) 747-5052,"500 W. University Ave, El Paso, TX 79968",8-May-73,K,Daniel,89
-115.92,7035,3025,1735.62,2025,688.77,1025,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",21-Nov-91,Khan,Shere,26
-1863.46,8835,3023,1684.46,2023,1472.05,1023,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",21-Dec-35,King,Simba,24
-777.42,9320,3089,180.84,2089,585.99,1089,(915) 747-5053,"500 W. University Ave, El Paso, TX 79968",19-Jul-98,L,Daniel,90
-1064.52,5079,3064,4572.26,2064,1079.13,1064,(915) 747-5028,"500 W. University Ave, El Paso, TX 79968",11-Mar-10,Labayen,Laurence,65
-407.11,6858,3057,1600.38,2057,1816.52,1057,(915) 747-5021,"500 W. University Ave, El Paso, TX 79968",28-Feb-28,Landin,Isaiah,58
-1215.99,3624,3016,33.53,2016,629.61,1016,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",12-Mar-63,Lightyear,Buzz,17
-140.99,4563,3022,4326.32,2022,941.51,1022,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",29-Jul-29,Lion,Scar,23
-267.18,3977,3052,2348.86,2052,1917.27,1052,(915) 747-5016,"500 W. University Ave, El Paso, TX 79968",18-Jan-09,Marin,Federico,53
-678.52,8612,3059,3790.64,2059,903.51,1059,(915) 747-5023,"500 W. University Ave, El Paso, TX 79968",18-Sep-36,Medina - Sandoval,Joseph,60
-1231.96,7600,3077,2051.62,2077,1887.12,1077,(915) 747-5041,"500 W. University Ave, El Paso, TX 79968",29-Jan-36,Mejia,Daniel,78
-1003.98,7545,3066,4334.35,2066,1311.35,1066,(915) 747-5030,"500 W. University Ave, El Paso, TX 79968",18-Mar-36,Melendez Lujan,Manuel,67
-1147.68,6570,3018,1503.63,2018,1333.17,1018,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",30-Jun-00,Mermaid,Ursela,19
-150.6,3649,3036,3710.89,2036,474.59,1036,(915) 747-5000,"500 W. University Ave, El Paso, TX 79968",5-Oct-38,Miranda,Alberto,37
-677.71,5439,3050,1304.98,2050,1584.85,1050,(915) 747-5014,"500 W. University Ave, El Paso, TX 79968",5-Mar-59,Montes,Ervey,51
-1653.84,9151,3000,4479.46,2000,403.12,1000,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",25-Apr-92,Mouse,Mickey,1
-239.31,3442,3002,327.99,2002,1894.16,1002,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",3-Nov-94,Mouse,Minnie,3
-1623.03,4837,3090,2226.15,2090,364.34,1090,(915) 747-5054,"500 W. University Ave, El Paso, TX 79968",4-Mar-59,N,Daniel,91
-305.52,9764,3055,2738.6,2055,1622.04,1055,(915) 747-5019,"500 W. University Ave, El Paso, TX 79968",1-Aug-60,Navarrete,Grecia,56
-0.1,7732,3091,2761.08,2091,1710.28,1091,(915) 747-5055,"500 W. University Ave, El Paso, TX 79968",16-Sep-03,O,Daniel,92
-1514.01,4072,3054,179.25,2054,291.85,1054,(915) 747-5018,"500 W. University Ave, El Paso, TX 79968",13-Mar-51,Orea,Gildardo,55
-1129.63,6395,3068,1218.43,2068,192.14,1068,(915) 747-5032,"500 W. University Ave, El Paso, TX 79968",7-Aug-36,Ornelas-Gutierrez,Mauricio,69
-1963.63,7626,3092,3519.67,2092,1069.19,1092,(915) 747-5056,"500 W. University Ave, El Paso, TX 79968",16-Feb-03,P,Daniel,93
-1137.78,5699,3014,2252.52,2014,41.62,1014,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",29-May-87,Pan,Peter,15
-673.84,4002,3093,205.32,2093,498.13,1093,(915) 747-5057,"500 W. University Ave, El Paso, TX 79968",7-Feb-71,Q,Daniel,94
-367.09,7647,3028,4844.83,2028,238.09,1028,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",19-Dec-42,Queen,Evil,29
-1040.57,9008,3094,1288.97,2094,745.03,1094,(915) 747-5058,"500 W. University Ave, El Paso, TX 79968",20-Apr-94,R,Daniel,95
-674.27,3109,3061,3607.48,2061,1851.26,1061,(915) 747-5025,"500 W. University Ave, El Paso, TX 79968",29-Apr-52,Rabelo,Juan,62
-157.39,4822,3076,1902.09,2076,220.57,1076,(915) 747-5040,"500 W. University Ave, El Paso, TX 79968",15-Jun-57,Rahad,Khandoker,77
-860.87,6176,3051,2939.07,2051,760.91,1051,(915) 747-5015,"500 W. University Ave, El Paso, TX 79968",15-Dec-36,Ramos,Estevan,52
-444.4,9283,3045,4039.37,2045,1330.23,1045,(915) 747-5009,"500 W. University Ave, El Paso, TX 79968",4-May-89,Reyes,Christopher,46
-1734.35,4766,3039,3443.94,2039,1772.98,1039,(915) 747-5003,"500 W. University Ave, El Paso, TX 79968",14-Feb-02,Rodriguez,Alfredo,40
-405.22,8718,3058,789.31,2058,398.46,1058,(915) 747-5022,"500 W. University Ave, El Paso, TX 79968",8-Sep-52,Rodriguez Ortega,Jose,59
-326.57,5787,3067,1038.13,2067,870.6,1067,(915) 747-5031,"500 W. University Ave, El Paso, TX 79968",30-Dec-42,Ruvalcaba,Manuel,68
-718.69,7282,3095,2944.12,2095,1197.47,1095,(915) 747-5059,"500 W. University Ave, El Paso, TX 79968",8-Jan-91,S,Daniel,96
-828.59,5066,3096,4884.23,2096,894.63,1096,(915) 747-5060,"500 W. University Ave, El Paso, TX 79968",22-Oct-92,T,Daniel,97
-1545.62,5431,3074,3391.57,2074,1035.19,1074,(915) 747-5038,"500 W. University Ave, El Paso, TX 79968",20-Aug-92,Torres,Yulianna,75
-978.33,6171,3097,840.66,2097,417.42,1097,(915) 747-5061,"500 W. University Ave, El Paso, TX 79968",27-May-88,U,Daniel,98
-1052.86,8400,3098,2405.55,2098,1187.71,1098,(915) 747-5062,"500 W. University Ave, El Paso, TX 79968",25-Aug-06,V,Daniel,99
-470.23,7958,3099,261.75,2099,1239.64,1099,(915) 747-5063,"500 W. University Ave, El Paso, TX 79968",14-Jun-96,W,Daniel,100
-817.67,5540,3100,4668.29,2100,122.74,1100,(915) 747-5064,"500 W. University Ave, El Paso, TX 79968",25-Nov-84,X,Daniel,101
-199.91,6534,3101,3810.87,2101,738.93,1101,(915) 747-5065,"500 W. University Ave, El Paso, TX 79968",12-Mar-84,Y,Daniel,102
-649.08,5697,3102,4635.0,2102,1825.29,1102,(915) 747-5066,"500 W. University Ave, El Paso, TX 79968",9-Aug-56,Z,Daniel,103
-268.92,8629,3042,4248.79,2042,1994.56,1042,(915) 747-5006,"500 W. University Ave, El Paso, TX 79968",20-Sep-14,Zarzosa,Arae,43
