Checking Account Number,Credit Account Number,Credit Max,Last Name,Date of Birth,Savings Starting Balance,Checking Starting Balance,Phone Number,Credit Starting Balance,Identification Number,Address,First Name,Savings Account Number
1008,3008,7822,Disney,15-Apr-70,729.5,1581.97,(714) 781-4636,-1810.55,9,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel,2008
1009,3009,9736,Disney,17-Nov-91,1087.1,633.94,(714) 781-4636,-1797.38,10,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine,2009
1010,3010,7398,Disney,11-Oct-28,3431.15,140.78,(714) 781-4636,-1989.22,11,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin,2010
1011,3011,4931,Disney,24-Oct-12,373.47,1336.79,(714) 781-4636,-1220.11,12,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,2011
1012,3012,7463,Disney,19-Jan-09,3846.05,148.68,(714) 781-4636,-1112.18,13,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa,2012
1013,3013,8372,Disney,12-Jun-60,4806.74,343.45,(714) 781-4636,-169.44,14,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora,2013
1015,3015,7932,Disney,2-Apr-95,2429.23,258.06,(714) 781-4636,-1005.79,16,"1313 Disneyland Dr, Anaheim, CA 92802",Woody,2015
1019,3019,7687,Disney,16-Aug-98,4398.81,1849.03,(714) 781-4636,-160.2,20,"1313 Disneyland Dr, Anaheim, CA 92802",Beast,2019
1020,3020,8396,Disney,5-Oct-54,2434.75,517.81,(714) 781-4636,-1024.19,21,"1313 Disneyland Dr, Anaheim, CA 92802",Belle,2020
1024,3024,3397,Disney,11-Aug-09,994.47,168.24,(714) 781-4636,-1264.11,25,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston,2024
1027,3027,3237,Disney,22-Feb-69,423.8,928.76,(714) 781-4636,-864.26,28,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa,2027
1029,3029,9149,Disney,20-Mar-08,1412.45,1280.77,(714) 781-4636,-14.76,30,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio,2029
1031,3031,5023,Disney,17-Sep-71,2302.79,483.57,(714) 781-4636,-1454.15,32,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo,2031
1032,3032,5094,Disney,30-Jun-66,1388.27,1270.03,(714) 781-4636,-1855.19,33,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules,2032
1033,3033,7881,Disney,14-Oct-79,1216.15,1774.26,(714) 781-4636,-397.68,34,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan,2033
1034,3034,7722,Disney,19-Jul-44,1942.89,1763.47,(714) 781-4636,-1715.37,35,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo,2034
1035,3035,8172,Disney,3-Feb-28,4919.61,387.32,(714) 781-4636,-16.87,36,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch,2035
1001,3001,8147,Duck,7-Apr-94,3582.37,1928.58,(714) 781-4636,-1513.57,2,"1313 Disneyland Dr, Anaheim, CA 92802",Donald,2001
1082,3082,7011,E,17-Jun-72,3689.98,190.25,(915) 747-5046,-269.32,83,"500 W. University Ave, El Paso, TX 79968",Daniel,2082
1030,3030,7019,Eric,10-Feb-05,4505.0,1250.24,(714) 781-4636,-1413.12,31,"1313 Disneyland Dr, Anaheim, CA 92802",Prince,2030
1071,3071,5198,Evans,8-Aug-55,2907.59,1223.55,(915) 747-5035,-329.08,72,"500 W. University Ave, El Paso, TX 79968",Robert,2071
1083,3083,7196,F,24-Mar-86,1020.81,214.25,(915) 747-5047,-814.22,84,"500 W. University Ave, El Paso, TX 79968",Daniel,2083
1084,3084,8439,G,18-Nov-77,3788.92,1930.6,(915) 747-5048,-1101.55,85,"500 W. University Ave, El Paso, TX 79968",Daniel,2084
1049,3049,6262,Garcia,2-Jun-92,1243.48,1243.42,(915) 747-5013,-862.06,50,"500 W. University Ave, El Paso, TX 79968",Eduardo,2049
1056,3056,8216,Garcia,30-Mar-42,3011.8,135.23,(915) 747-5020,-990.67,57,"500 W. University Ave, El Paso, TX 79968",Hernan,2056
1062,3062,5693,Garcia,7-Mar-97,3508.77,1740.54,(915) 747-5026,-444.56,63,"500 W. University Ave, El Paso, TX 79968",Judith,2062
1060,3060,9566,Gutierrez,9-Jan-89,3227.73,526.23,(915) 747-5024,-1581.21,61,"500 W. University Ave, El Paso, TX 79968",Juan,2060
1085,3085,9853,H,2-May-37,3465.11,1326.34,(915) 747-5049,-1977.56,86,"500 W. University Ave, El Paso, TX 79968",Daniel,2085
1073,3073,9291,Hernandez,20-Apr-52,740.81,1515.79,(915) 747-5037,-1721.04,74,"500 W. University Ave, El Paso, TX 79968",Sofia,2073
1026,3026,9203,Hook,12-May-01,3295.28,369.27,(714) 781-4636,-1813.88,27,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin,2026
1086,3086,7232,I,23-Dec-35,2348.02,1927.47,(915) 747-5050,-1927.99,87,"500 W. University Ave, El Paso, TX 79968",Daniel,2086
1087,3087,8702,J,20-Oct-43,2813.64,1924.71,(915) 747-5051,-986.39,88,"500 W. University Ave, El Paso, TX 79968",Daniel,2087
1041,3041,3753,Jasso,8-Dec-44,547.41,661.74,(915) 747-5005,-530.31,42,"500 W. University Ave, El Paso, TX 79968",Anthony,2041
1088,3088,6307,K,8-May-73,3471.09,1082.73,(915) 747-5052,-88.26,89,"500 W. University Ave, El Paso, TX 79968",Daniel,2088
1025,3025,7035,Khan,21-Nov-91,1735.62,688.77,(714) 781-4636,-115.92,26,"1313 Disneyland Dr, Anaheim, CA 92802",Shere,2025
1023,3023,8835,King,21-Dec-35,1684.46,1472.05,(714) 781-4636,-1863.46,24,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,2023
1089,3089,9320,L,19-Jul-98,180.84,585.99,(915) 747-5053,-777.42,90,"500 W. University Ave, El Paso, TX 79968",Daniel,2089
1064,3064,5079,Labayen,11-Mar-10,4572.26,1079.13,(915) 747-5028,-1064.52,65,"500 W. University Ave, El Paso, TX 79968",Laurence,2064
1057,3057,6858,Landin,28-Feb-28,1600.38,1816.52,(915) 747-5021,-407.11,58,"500 W. University Ave, El Paso, TX 79968",Isaiah,2057
1016,3016,3624,Lightyear,12-Mar-63,33.53,629.61,(714) 781-4636,-1215.99,17,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz,2016
1022,3022,4563,Lion,29-Jul-29,4326.32,941.51,(714) 781-4636,-140.99,23,"1313 Disneyland Dr, Anaheim, CA 92802",Scar,2022
1052,3052,3977,Marin,18-Jan-09,2348.86,1917.27,(915) 747-5016,-267.18,53,"500 W. University Ave, El Paso, TX 79968",Federico,2052
1059,3059,8612,Medina - Sandoval,18-Sep-36,3790.64,903.51,(915) 747-5023,-678.52,60,"500 W. University Ave, El Paso, TX 79968",Joseph,2059
1077,3077,7600,Mejia,29-Jan-36,2051.62,1887.12,(915) 747-5041,-1231.96,78,"500 W. University Ave, El Paso, TX 79968",Daniel,2077
1066,3066,7545,Melendez Lujan,18-Mar-36,4334.35,1311.35,(915) 747-5030,-1003.98,67,"500 W. University Ave, El Paso, TX 79968",Manuel,2066
1018,3018,6570,Mermaid,30-Jun-00,1503.63,1333.17,(714) 781-4636,-1147.68,19,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela,2018
1036,3036,3649,Miranda,5-Oct-38,3710.89,474.59,(915) 747-5000,-150.6,37,"500 W. University Ave, El Paso, TX 79968",Alberto,2036
1050,3050,5439,Montes,5-Mar-59,1304.98,1584.85,(915) 747-5014,-677.71,51,"500 W. University Ave, El Paso, TX 79968",Ervey,2050
1000,3000,9151,Mouse,25-Apr-92,4479.46,403.12,(714) 781-4636,-1653.84,1,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey,2000
1002,3002,3442,Mouse,3-Nov-94,327.99,1894.16,(714) 781-4636,-239.31,3,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie,2002
1090,3090,4837,N,4-Mar-59,2226.15,364.34,(915) 747-5054,-1623.03,91,"500 W. University Ave, El Paso, TX 79968",Daniel,2090
1055,3055,9764,Navarrete,1-Aug-60,2738.6,1622.04,(915) 747-5019,-305.52,56,"500 W. University Ave, El Paso, TX 79968",Grecia,2055
1091,3091,7732,O,16-Sep-03,2761.08,1710.28,(915) 747-5055,-0.1,92,"500 W. University Ave, El Paso, TX 79968",Daniel,2091
1054,3054,4072,Orea,13-Mar-51,179.25,291.85,(915) 747-5018,-1514.01,55,"500 W. University Ave, El Paso, TX 79968",Gildardo,2054
1068,3068,6395,Ornelas-Gutierrez,7-Aug-36,1218.43,192.14,(915) 747-5032,-1129.63,69,"500 W. University Ave, El Paso, TX 79968",Mauricio,2068
1092,3092,7626,P,16-Feb-03,3519.67,1069.19,(915) 747-5056,-1963.63,93,"500 W. University Ave, El Paso, TX 79968",Daniel,2092
1014,3014,5699,Pan,29-May-87,2252.52,41.62,(714) 781-4636,-1137.78,15,"1313 Disneyland Dr, Anaheim, CA 92802",Peter,2014
1093,3093,4002,Q,7-Feb-71,205.32,498.13,(915) 747-5057,-673.84,94,"500 W. University Ave, El Paso, TX 79968",Daniel,2093
1028,3028,7647,Queen,19-Dec-42,4844.83,238.09,(714) 781-4636,-367.09,29,"1313 Disneyland Dr, Anaheim, CA 92802",Evil,2028
1094,3094,9008,R,20-Apr-94,1288.97,745.03,(915) 747-5058,-1040.57,95,"500 W. University Ave, El Paso, TX 79968",Daniel,2094
1061,3061,3109,Rabelo,29-Apr-52,3607.48,1851.26,(915) 747-5025,-674.27,62,"500 W. University Ave, El Paso, TX 79968",Juan,2061
1076,3076,4822,Rahad,15-Jun-57,1902.09,220.57,(915) 747-5040,-157.39,77,"500 W. University Ave, El Paso, TX 79968",Khandoker,2076
1051,3051,6176,Ramos,15-Dec-36,2939.07,760.91,(915) 747-5015,-860.87,52,"500 W. University Ave, El Paso, TX 79968",Estevan,2051
1045,3045,9283,Reyes,4-May-89,4039.37,1330.23,(915) 747-5009,-444.4,46,"500 W. University Ave, El Paso, TX 79968",Christopher,2045
1039,3039,4766,Rodriguez,14-Feb-02,3443.94,1772.98,(915) 747-5003,-1734.35,40,"500 W. University Ave, El Paso, TX 79968",Alfredo,2039
1058,3058,8718,Rodriguez Ortega,8-Sep-52,789.31,398.46,(915) 747-5022,-405.22,59,"500 W. University Ave, El Paso, TX 79968",Jose,2058
1067,3067,5787,Ruvalcaba,30-Dec-42,1038.13,870.6,(915) 747-5031,-326.57,68,"500 W. University Ave, El Paso, TX 79968",Manuel,2067
1095,3095,7282,S,8-Jan-91,2944.12,1197.47,(915) 747-5059,-718.69,96,"500 W. University Ave, El Paso, TX 79968",Daniel,2095
1096,3096,5066,T,22-Oct-92,4884.23,894.63,(915) 747-5060,-828.59,97,"500 W. University Ave, El Paso, TX 79968",Daniel,2096
1074,3074,5431,Torres,20-Aug-92,3391.57,1035.19,(915) 747-5038,-1545.62,75,"500 W. University Ave, El Paso, TX 79968",Yulianna,2074
1097,3097,6171,U,27-May-88,840.66,417.42,(915) 747-5061,-978.33,98,"500 W. University Ave, El Paso, TX 79968",Daniel,2097
1098,3098,8400,V,25-Aug-06,2405.55,1187.71,(915) 747-5062,-1052.86,99,"500 W. University Ave, El Paso, TX 79968",Daniel,2098
1099,3099,7958,W,14-Jun-96,261.75,1239.64,(915) 747-5063,-470.23,100,"500 W. University Ave, El Paso, TX 79968",Daniel,2099
1100,3100,5540,X,25-Nov-84,4668.29,122.74,(915) 747-5064,-817.67,101,"500 W. University Ave, El Paso, TX 79968",Daniel,2100
1101,3101,6534,Y,12-Mar-84,3810.87,738.93,(915) 747-5065,-199.91,102,"500 W. University Ave, El Paso, TX 79968",Daniel,2101
1102,3102,5697,Z,9-Aug-56,4635.0,1825.29,(915) 747-5066,-649.08,103,"500 W. University Ave, El Paso, TX 79968",Daniel,2102
1042,3042,8629,Zarzosa,20-Sep-14,4248.79,1994.56,(915) 747-5006,-268.92,43,"500 W. University Ave, El Paso, TX 79968",Arae,2042
